index,Conveyor_Position2History
0,35
1,12
2,-1
3,4
4,-11
5,-8
6,7
7,29
8,24
9,21
10,28
11,53
12,-10
13,29
14,3
15,8
16,45
17,7
18,13
19,13
20,12
21,-9
22,-26
23,-14
24,88
25,-6
26,-54
27,-5
28,-9
29,-47
30,-44
31,7
32,27
33,6
34,24
35,37
36,10
37,55
38,42
39,10
40,9
41,50
42,41
43,37
44,51
45,18
46,-77
47,60
48,33
49,27
50,11
51,24
52,39
53,8
54,24
55,49
56,26
57,33
58,43
59,1
60,-1
61,39
62,80
63,37
64,7
65,4
66,8
67,-39
68,-15
69,5
70,5
71,3
72,-10554
73,24
74,32
75,21
76,2
77,30
78,11
79,16
80,12
81,44
82,22
83,34
84,21
85,8
86,25
87,6
88,80
89,-12
90,-2
91,15
92,2
93,-3
94,-13
95,55
96,49
97,24
98,68
99,50
100,49
101,66
102,67
103,46
104,22
105,74
106,40
107,66
108,73
109,33
110,-4
111,68
112,73
113,57
114,24
115,40
116,68
117,63
118,36
119,62
120,36
121,39
122,79
123,23
124,31
125,59
126,115
127,51
128,24
129,26
130,14
131,-4
132,3
133,18
134,34
135,-1791
136,-1791
137,-1791
138,-1791
139,-1791
140,-1791
141,-1791
142,-1791
143,-1791
144,-1791
145,-1791
146,-1791
147,-1791
148,-1791
149,-1791
150,-1791
151,-1791
152,-1791
153,-1791
154,-1791
155,-1791
156,-1791
157,-1791
158,-1791
159,-1791
160,-1791
161,-1791
162,-1791
163,-1791
164,-1791
165,-1791
166,-1791
167,-1791
168,-1791
169,-1791
170,-1791
171,-1791
172,-1791
173,-1791
174,-1791
175,-1791
176,-1791
177,-1791
178,-1791
179,-1791
180,-1791
181,-1791
182,-1791
183,-1791
184,-1791
185,-1791
186,-1791
187,-1791
188,-1791
189,-1791
190,-1791
191,-1791
192,-1791
193,-1791
194,-1791
195,-1791
196,-1791
197,-1791
198,-1791
199,-1791
200,-1791
201,-1791
202,-1791
203,-1791
204,-1791
205,-1791
206,-1791
207,-1791
208,-1791
209,-1791
210,-1791
211,-1791
212,-1791
213,-1791
214,-1791
215,-1791
216,-1791
217,-1791
218,-1791
219,-1791
220,-1791
221,-1791
222,-1791
223,-1791
224,-1791
225,-1791
226,-1791
227,-1791
228,-1791
229,-1791
230,-1791
231,-1791
232,-1791
233,-1791
234,-1791
235,-1791
236,-1791
237,-1791
238,-1791
239,-1791
240,-1791
241,-1791
242,-1791
243,-1791
244,-1791
245,-1791
246,-1791
247,-1791
248,-1791
249,-1791
